"id","finisheddate","party","elected","occupation","redevelop_con","republican","democrat","election_partisan","success","failure","diffussion_interested","formofgovernment","townmeetingbasedpolicy"
"R_3sKdZ0b13Wh3teR","7/27/12 11:20",1,3,1,1,1,0,1,0,1,1,4,0
"R_d5MtkfIOZVO08Ul","8/6/12 15:32",3,2,2,0,0,0,0,0,1,1,4,0
"R_3KkPw6vkKrHNZMF","8/6/12 9:13",1,3,2,0,1,0,1,1,0,0,5,0
"R_dnV6cbRE32Ydr37","8/27/12 10:38",1,3,1,1,1,0,1,0,1,,7,1
"R_5nJlTEWbqr81QO1","8/22/12 11:35",2,2,2,0,0,1,0,,,,5,0
"R_8iCGLgHnz9Virel","7/25/12 18:16",1,3,2,1,1,0,1,1,0,1,4,0
"R_9nVLHQoHi8zEjfD","8/15/12 10:49",1,3,2,1,1,0,1,0,1,1,4,0
"R_2couBUolk9YehNP","8/6/12 21:03",3,2,2,0,0,0,0,1,0,,4,0
"R_9sGq5X2JXHCD9k1","7/26/12 11:59",1,3,2,0,1,0,1,0,1,0,4,0
"R_b74pLEj17q0Yv1H","7/25/12 18:43",3,2,2,1,0,0,0,1,0,1,,
"R_1G5AqKOjQ51qzCB","7/25/12 10:56",1,2,2,1,1,0,0,1,0,1,4,0
"R_3NLdTxxEDiOPUWh","7/25/12 10:12",5,2,2,1,0,0,0,0,1,0,4,0
"R_3CtjRPsgCCOkGpf","8/6/12 14:12",3,2,2,1,0,0,0,1,0,1,4,0
"R_eszT8dfINRhrHal","8/7/12 20:35",3,2,2,1,0,0,0,0,1,1,4,0
"R_74ewo4C0PJ9IJBb","7/31/12 14:23",1,2,1,0,1,0,0,0,1,0,,
"R_6Frkbsntnztc2Md","8/6/12 12:42",1,2,2,0,1,0,0,1,0,1,4,0
"R_bEq52nPQRGVqbxr","7/25/12 12:28",1,2,-99,1,1,0,0,1,0,1,4,0
"R_0lElMVNQXlkeo2V","8/6/12 9:49",3,2,2,1,0,0,0,1,0,1,4,0
"R_87WYHwxXLaAI8kJ","8/6/12 10:53",1,2,2,1,1,0,0,,,,4,0
"R_5haroNTMrQquXOd","8/7/12 15:55",3,2,2,1,0,0,0,1,0,1,5,0
"R_0CjUg1hHSEAO1OR","8/14/12 15:01",1,2,2,1,1,0,0,1,0,1,5,0
"R_e3ys53W5iPnrLp3","8/6/12 11:37",1,3,2,1,1,0,1,1,0,0,4,0
"R_agC0LDYSZLbdi0l","8/13/12 9:37",1,3,2,1,1,0,1,0,1,1,4,0
"R_3vH0qVGn2E0Yj6B","7/25/12 10:47",2,3,2,1,0,1,1,0,1,1,4,0
"R_0GHh0hKQv45miIR","8/14/12 10:11",2,1,1,0,0,1,,,,,7,0
"R_6fHG8bkWyuMO57f","8/15/12 22:44",3,3,2,1,0,0,1,1,0,1,5,1
"R_0OkEZOB4y6Yud5b","8/16/12 17:47",,,,,,,,,,,7,0
"R_9LhbD9NPDsxphYN","8/14/12 12:12",1,2,-99,1,1,0,0,1,0,0,4,0
"R_bPhCgOdoR5HYQEl","7/26/12 11:05",2,2,2,0,0,1,0,0,1,1,4,0
"R_6Shq9GZjDRhSHul","7/25/12 10:48",,,,,,,,,,,4,0
"R_0TfgbjytLQ47eJv","7/25/12 9:06",,-99,-99,,,,,,,,,
"R_3Q1oRXEpwBKxLDv","7/25/12 11:36",2,2,2,1,0,1,0,1,0,1,,
"R_bBjqJukorEdlD6d","8/14/12 9:40",,,,,,,,,,,4,0
"R_4VqfjFy2ZyFh0VL","7/26/12 7:15",,,,,,,,,,,8.5,
"R_72sEcc8nrt6aEYJ","8/6/12 10:48",1,2,2,1,1,0,0,1,0,1,4,0
"R_1Fv11c1G3N2QQNT","8/7/12 17:29",2,2,1,1,0,1,0,0,1,1,4,0
"R_bq4Thvaxj3flBCl","8/6/12 13:29",,,,,,,,,,,4,0
"R_416w46syxpaUe3j","8/6/12 8:53",1,3,1,1,1,0,1,0,1,0,7,1
"R_3JAxhI2sPSh9iwR","7/25/12 10:09",1,3,2,1,1,0,1,1,0,1,4,0
"R_40nT6wVpYYp4AVT","8/7/12 8:00",2,2,2,1,0,1,0,,,,5,0
"R_3kkkdU1LNx187XL","7/25/12 14:34",2,3,1,1,0,1,1,1,0,1,5,0
"R_2tRECzGho4fdyJf","8/16/12 8:44",1,3,2,1,1,0,1,0,1,1,7,1
"R_5jZg6DReRYMO0QZ","8/9/12 9:12",2,3,2,1,0,1,1,0,1,1,,
"R_0HzkoYLYIrfoOmp","7/25/12 12:21",2,2,2,0,0,1,0,1,0,1,,
"R_6R1Oa4dEAxUg0Sh","8/10/12 15:35",1,3,2,0,1,0,1,1,0,0,4,0
"R_20nGvXSiIR1gHyJ","7/25/12 9:34",,-99,-99,,,,,1,0,,4,0
"R_es852HRPaYAibf7","7/25/12 16:03",2,2,1,1,0,1,0,0,1,1,4,0
"R_820ESehHh1XN5FX","8/14/12 10:40",2,2,2,1,0,1,0,1,0,1,4,0
"R_4SLseOJurf3PbCJ","7/25/12 10:38",3,,,,0,0,,,,,4,0
"R_5iF6jyz3hMENisZ","8/6/12 12:00",2,2,1,1,0,1,0,0,1,1,4,0
"R_3rw7TXWhmqF01Ux","7/27/12 17:20",1,2,2,0,1,0,0,0,1,0,5,0
