"id","finisheddate","party","elected","occupation","foreclosure_problem","republican","democrat","election_partisan","treatment_republican","treatment_democrat","matched_party","diffussion_interested","formofgovernment","townmeetingbasedpolicy"
"R_0dKhclxTsXoODdP","8/16/12 22:49",1,2,2,0,1,0,0,0,1,0,0,4,0
"R_20ujHVy4BkEzKO9","8/13/12 12:22",2,2,2,0,0,1,0,1,0,0,0,4,0
"R_5ALzYNlkWc0isK1","8/24/12 11:19",2,2,2,1,0,1,0,1,0,0,0,7,2
"R_8cCxrWqsRyVZt7T","8/27/12 0:33",1,2,2,1,1,0,0,0,1,0,0,5,0
"R_bj75FFLl3beDEIR","8/14/12 17:27",,,,,,,,,,,,5,0
"R_eJP8kADsxEvy5fL","8/14/12 17:53",2,2,2,1,0,1,0,1,0,0,1,6,0
"R_2gjuOxNB4R8s3XL","8/6/12 22:18",1,2,2,0,1,0,0,1,0,1,0,7,0
"R_50YpCVpDATZ2EBf","8/24/12 12:23",,-99,-99,,,,,0,1,,,5,0
"R_0kzihnfO2t62k6h","8/6/12 12:24",2,2,2,1,0,1,0,1,0,0,0,5,0
"R_da5oEnZoREcLtoV","8/6/12 10:09",3,2,2,0,0,0,0,0,1,,0,4,0
"R_cBiGTro2zEDMIf3","8/6/12 21:16",3,3,2,0,0,0,1,0,1,,,5,0
"R_bKrsEcG1a8LMSUJ","8/26/12 19:35",2,3,2,1,0,1,1,,,,,4,0
"R_26x1Wqk4RWkNCE5","8/14/12 10:21",,,,,,,,,,,,7,1
"R_6QJ5902E1IS0BX7","8/6/12 21:54",3,2,2,1,0,0,0,0,1,,1,5,0
"R_8le1yyr3ebIXzVz","8/6/12 9:11",3,2,2,0,0,0,0,1,0,,1,5,0
"R_0AgSJEAlofIurhb","8/24/12 21:20",3,1,2,0,0,0,,0,1,,0,4,0
"R_6QpA3O7HLaGYioJ","8/16/12 10:27",2,2,1,0,0,1,0,,,,,4,0
"R_6nz5EQGXf1Llkyh","8/14/12 10:48",1,2,2,0,1,0,0,1,0,1,1,4,0
"R_6VdcJ7brzkgeplX","8/6/12 9:44",1,3,2,0,1,0,1,0,1,0,1,4,0
"R_5bfhqkuqh3R8b3L","8/14/12 18:01",5,2,2,0,0,0,0,1,0,,0,4,
"R_3DaoCaEdX18kRdb","8/14/12 9:37",,,,,,,,,,,,5,0
"R_25Jar3ARPRtrFs1","8/6/12 22:03",1,2,2,0,1,0,0,1,0,1,0,4,0
"R_cSWM5CetU2Y1vPT","8/14/12 22:11",2,2,2,1,0,1,0,1,0,0,0,4,0
"R_4I4B3jr6F50uTTD","8/31/12 15:12",2,2,2,0,0,1,0,0,1,1,1,4,0
"R_0pQTwyfVtKiwaMt","8/14/12 10:40",2,2,2,0,0,1,0,1,0,0,1,7,1
"R_dhiCiiHNN5rmuTr","8/6/12 9:34",2,2,2,1,0,1,0,1,0,0,1,5,0
"R_0HDyNJjdzCyoNmd","8/6/12 11:58",1,1,1,1,1,0,,0,1,0,1,4,0
"R_eRvN4MfEzMndT5H","8/6/12 9:08",1,2,2,1,1,0,0,0,1,0,1,5,0
"R_4NSk5ggSWY6uzJz","8/6/12 14:23",5,2,2,0,0,0,0,1,0,,1,5,0
"R_bmA9kSkOeoF3bbT","8/14/12 9:35",,,,,,,,,,,,5,0
"R_ex2C1tbJco5veRv","8/6/12 9:05",3,2,2,0,0,0,0,0,1,,1,5,1
"R_0SPay7os863MMXb","8/24/12 13:42",2,2,1,0,0,1,0,0,1,1,0,4,0
"R_cFQiSkl2tiOxQ0t","8/27/12 14:14",1,2,2,0,1,0,0,0,1,0,0,4,0
"R_0eV7MXoJOa9OsQZ","8/29/12 14:20",3,2,2,1,0,0,0,0,1,,1,4,0
"R_bd6tB0jlpCZ5PY9","8/21/12 20:06",1,2,2,0,1,0,0,0,1,0,,5,0
"R_6yhO1bopncDPjh3","8/6/12 9:25",1,3,2,0,1,0,1,1,0,1,1,5,0
