"name","removed","time","time_edit","time_removed","time_alive","round","state","class","party","lengthofincumbency","leadership","committeechair","pagechar","population","region","locked","block","treatment_pre_order","influence","republican","term","living","treat_final","treatment_post_order"
"Jim Risch","NO","17:16, 7 November 2014",11/7/2014 17:15:46,,,5,"Idaho",2,"Republican",2009,,,138548,1567582,"W",0,18,31,0,1,,,1,86
"Joe Donnelly","NO","17:25, 7 November 2014",11/7/2014 17:24:30,,,5,"Indiana",1,"Democratic",2013,,,323183,6483802,"MW",0,16,1,0,0,,,1,91
"Joe Manchin","NO","17:14, 7 November 2014",11/7/2014 17:13:35,,,5,"West Virginia",1,"Democratic",2010,,,240087,1852994,"S",0,15,96,0,0,,,1,85
"John Barrasso","21:31, 7 November 2014","17:35, 7 November 2014",11/7/2014 17:35:26,11/7/2014 21:31:21,14155776,5,"Wyoming",1,"Republican",2007,"Republican Policy Committee Chair",,157457,563626,"W",0,19,57,1,1,,,3,94
"John Boozman","20:27, 10 November 2014","16:37, 6 November 2014",11/6/2014 16:36:50,11/10/2014 20:26:50,359399424,5,"Arkansas",3,"Republican",2011,,,198243,2915918,"S",0,22,90,0,1,,,4,13
"John Cornyn","17:50, 10 November 2014","17:42, 7 November 2014",11/7/2014 17:41:59,11/10/2014 17:49:33,259653632,5,"Texas",2,"Republican",2003,"Minority Whip",,196963,25145561,"S",0,11,63,1,1,,,3,98
"John Hoeven","22:12, 7 November 2014","16:58, 7 November 2014",11/7/2014 16:58:17,11/7/2014 22:12:52,18874368,5,"North Dakota",3,"Republican",2011,,,130790,672591,"MW",0,12,86,0,1,,,1,81
"John McCain","17:56, 7 November 2014","09:32, 7 November 2014",11/7/2014 09:32:39,11/7/2014 17:55:05,30146560,5,"Arizona",3,"Republican",1987,,,631299,6392017,"W",1,25,56,0,1,,,1,93
"John Thune","NO","17:27, 7 November 2014",11/7/2014 17:26:41,,,5,"South Dakota",3,"Republican",2005,"Republican Conference Chair","Ranking - Commerce",200924,814180,"MW",0,1,83,1,1,,,1,92
"John Walsh","20:26, 6 November 2014","18:17, 6 November 2014",11/6/2014 18:17:20,11/6/2014 20:26:13,7733248,5,"Montana",2,"Democratic",2014,,,34029,989415,"W",0,10,85,0,0,,,4,33
"Johnny Isakson","17:51, 10 November 2014","17:40, 7 November 2014",11/7/2014 17:39:48,11/10/2014 17:51:44,259915776,5,"Georgia",3,"Republican",2005,,,173732,9687653,"S",0,21,30,0,1,,,3,97
"Jon Tester","20:47, 6 November 2014","18:49, 6 November 2014",11/6/2014 18:47:55,11/6/2014 20:48:04,7208960,5,"Montana",1,"Democratic",2007,,,164250,989415,"W",0,20,33,0,0,,,4,50
"Kay Hagan","NO","16:21, 7 November 2014",11/7/2014 16:21:09,,,5,"North Carolina",2,"Democratic",2009,,,209877,9535483,"S",0,3,12,0,0,,,1,78
"Kelly Ayotte","23:05, 7 November 2014","17:08, 7 November 2014",11/7/2014 17:07:02,11/7/2014 23:05:18,21495808,5,"New Hampshire",3,"Republican",2011,,,196871,1316470,"NE",0,7,93,0,1,,,3,82
"Kirsten Gillibrand","02:45, 8 November 2014","18:15, 6 November 2014",11/6/2014 18:15:09,11/8/2014 02:45:56,117047296,5,"New York",1,"Democratic",2009,,,274110,19378102,"NE",0,22,35,0,0,,,3,31
"Lamar Alexander","06:49, 7 November 2014","16:50, 6 November 2014",11/6/2014 16:49:57,11/7/2014 06:48:48,50331648,5,"Tennessee",2,"Republican",2003,,"Ranking - Health, Education, Labor & Pensions",322481,6346105,"S",0,18,69,1,1,,,3,18
"Lindsey Graham","13:14, 7 November 2014","05:11, 7 November 2014",11/7/2014 05:10:30,11/7/2014 13:13:17,28966912,5,"South Carolina",2,"Republican",2003,,,212097,4625364,"S",0,17,20,0,1,,,3,55
"Lisa Murkowski","NO","05:57, 7 November 2014",11/7/2014 05:56:23,,,5,"Alaska",3,"Republican",2002,,"Ranking - Energy & Natural Resources",272033,710231,"W",0,7,24,1,1,,,1,70
"Marco Rubio","12:43, 7 November 2014","21:23, 6 November 2014",11/6/2014 21:23:01,11/7/2014 12:42:42,55181312,5,"Florida",3,"Republican",2011,,,263040,18801310,"S",1,25,77,0,1,,,3,59
"Maria Cantwell","13:19, 7 November 2014","05:29, 7 November 2014",11/7/2014 05:27:59,11/7/2014 13:19:50,28311552,5,"Washington",1,"Democratic",2001,,"Chair - Small Business & Entrepreneurship",218204,6724540,"W",0,6,4,1,0,,,1,62
"Mark Begich","NO","16:43, 6 November 2014",11/6/2014 16:43:24,,,5,"Alaska",2,"Democratic",2009,,,193183,710231,"W",0,5,67,0,0,,,1,15
"Mark Kirk","05:13, 11 November 2014","05:02, 7 November 2014",11/7/2014 05:01:46,11/11/2014 05:13:18,346292224,5,"Illinois",3,"Republican",2010,,,218416,12830632,"MW",1,23,73,0,1,,,1,53
"Mark Pryor","20:33, 6 November 2014","16:48, 6 November 2014",11/6/2014 16:47:46,11/6/2014 20:32:46,13500416,5,"Arkansas",2,"Democratic",2003,,,177736,2915918,"S",0,21,72,0,0,,,2,17
"Mark Udall","20:36, 6 November 2014","18:48, 6 November 2014",11/6/2014 18:47:55,11/6/2014 20:34:57,6422528,5,"Colorado",2,"Democratic",2009,,,147441,5029196,"W",0,13,38,0,0,,,1,49
"Mark Warner","13:16, 7 November 2014","05:55, 7 November 2014",11/7/2014 05:54:12,11/7/2014 13:15:28,26476544,5,"Virginia",2,"Democratic",2009,,,246922,8001024,"S",0,18,16,0,0,,,1,69
"Martin Heinrich","13:49, 7 November 2014","16:55, 6 November 2014",11/6/2014 16:54:19,11/7/2014 13:48:14,75235328,5,"New Mexico",1,"Democratic",2013,,,167735,2059179,"W",0,3,76,0,0,,,3,21
"Mary Landrieu","18:48, 6 November 2014","18:20, 6 November 2014",11/6/2014 18:19:31,11/6/2014 18:47:55,1703936,5,"Louisiana",2,"Democratic",1997,,"Chair - Natural Resources",285584,4533372,"S",0,7,28,1,0,,,4,35
"Mazie Hirono","20:29, 6 November 2014","18:21, 6 November 2014",11/6/2014 18:21:42,11/6/2014 20:28:24,7602176,5,"Hawaii",1,"Democratic",2013,,,183788,1360301,"W",0,1,22,0,0,,,4,36
"Michael Bennet","06:04, 7 November 2014","05:59, 7 November 2014",11/7/2014 05:58:34,11/7/2014 06:02:56,262144,5,"Colorado",3,"Democratic",2009,"DSCC Chair",,172632,5029196,"W",0,14,97,1,0,,,3,71
