"month2","date2","year2","month1","date1","year1","group","famdiff","nycdirec","priority","votch1","othvotch1","votchst1","prompt","watchdpr","watchjlpr","party","partyoth","mob","yob","grade","race","raceoth","bestdate","besttime","gender","watchdps1","watchjlps","balance","watchdps2","watchdchk","informative","effective","won1","won2","ferrop","bloomop","knowledge","bloomsc","ferrsc","terror","housing","group2","vote","votch2","othvotch2","dosi","dofi","watch","age","coll","white","black","female","watchdps","modrace","modgen","modracgen","won","boroname","notperf","votem2005","votem2001","votem1997"
11,2,2005,10,28,2005,4,2,1,1,,,,,,2,1,,1,,5,1,,1101,2000,2,,1,1,2,,,,,3,3,3,3,90,60,1,1,2,,,,11/2/2005,10/28/2005,0,,1,1,0,1,0,,,,3,"QUEENS",1,1,1,1
11,3,2005,10,29,2005,4,1,1,8,,,,,,3,2,,10,1950,4,1,,1104,2100,1,,2,,1,13,3,1,1,,3,3,1,70,8,1,1,2,,,,11/3/2005,10/29/2005,0,55.1150703430176,1,1,0,0,1,0,0,0,1,"QUEENS",0,1,1,1
11,2,2005,10,31,2005,3,2,1,1,2,,2,,,2,2,,9,1957,5,1,,1102,1930,1,,2,,2,,,,1,,3,3,1,75,60,1,1,1,1,2,,11/2/2005,10/31/2005,0,48.1972618103027,1,1,0,0,0,,,,1,"QUEENS",0,1,1,1
11,3,2005,10,28,2005,2,1,1,4,,,,5,1,,1,,1,,4,1,,1104,2000,1,1,,,,1,2,1,1,,1,3,3,90,80,3,1,2,,,,11/3/2005,10/28/2005,1,,1,1,0,0,1,1,1,1,1,"QUEENS",1,1,1,1
11,2,2005,10,28,2005,2,1,1,2,,,,1,1,,5,"independent",1,,9,9,,1101,2000,2,1,,,,1,3,1,1,,2,3,1,100,0,1,1,1,1,2,,11/2/2005,10/28/2005,1,,,,,1,1,1,1,1,1,"QUEENS",1,1,1,1
11,2,2005,10,29,2005,2,2,1,1,,,,1,3,,1,,5,1942,4,1,,1103,1600,2,1,,,,1,3,3,1,,3,3,1,50,40,1,2,1,1,6,,11/2/2005,10/29/2005,1,63.5397262573242,1,1,0,1,1,1,1,1,1,"QUEENS",0,1,1,1
11,1,2005,10,28,2005,2,2,1,5,,,,1,3,,1,,8,1937,4,1,,1101,2000,1,1,,,,1,2,1,3,,3,3,3,75,50,1,2,1,1,4,"the candidate for the rent is too damn high party",11/1/2005,10/28/2005,1,68.2876739501953,1,1,0,0,1,1,1,1,3,"QUEENS",0,1,1,1
11,2,2005,10,28,2005,1,2,1,1,2,,3,5,1,,1,,2,1944,4,1,,1102,1930,1,2,,,,,,,3,,3,3,1,80,60,1,2,2,,,,11/2/2005,10/28/2005,1,61.7808227539062,1,1,0,0,0,,,,3,"QUEENS",0,1,1,0
11,3,2005,10,30,2005,4,3,1,3,,,,,,1,1,,12,1952,4,1,,1104,1830,1,,2,,2,,,,1,,3,3,1,75,60,1,1,1,1,2,,11/3/2005,10/30/2005,0,52.9479446411133,1,1,0,0,0,,,,1,"QUEENS",0,1,1,1
11,2,2005,10,28,2005,3,2,1,5,2,,2,,,2,1,,5,1927,5,1,,1101,2030,2,,2,,1,13,3,1,1,,3,3,1,10,6,1,1,2,,,,11/2/2005,10/28/2005,0,78.5479431152344,1,1,0,1,1,0,0,0,1,"QUEENS",0,1,1,1
