"choice","lib","con","counteratt","proatt","forcedmod","hc_partyrating","hc_perseffect","publicoption","requireinsur","hctaxrich","carehc","poli_time","Dnfc","control","resist_op","hostilemedia","politrust"
1,1,0,0,0,0,3,1,3,3,5,2,460.700012207031,0,0,2.5,0.35918340086937,3.44444441795349
1,1,0,0,0,0,5,1,5,5,6,3,394.599975585938,0,0,3,0.35918340086937,3.77777767181396
0,1,0,1,0,0,6,1,6,3,4,3,,0,0,3.5,0.35918340086937,2.11111116409302
0,0,0,0,0,1,3,0,3,5,1,2,,0,0,4,0.35918340086937,3.77777767181396
0,1,0,0,0,0,6,1,5,5,3,3,,0,1,2.5,-0.861554503440857,3.33333325386047
1,1,0,0,0,0,7,1,5,4,4,2,578.799987792969,0,0,3,0.35918340086937,3.88888883590698
1,0,1,0,0,0,5,1,4,5,6,2,,0,0,1,0.35918340086937,3.22222232818604
1,0,1,0,0,0,4,0,2,2,4,0,932.700012207031,0,0,3.5,0.35918340086937,3.88888883590698
1,0,0,0,0,0,2,-1,1,6,1,3,,0,0,4.5,0.35918340086937,3.55555558204651
1,1,0,0,0,0,4,0,4,3,4,2,1008.29998779297,1,0,2.5,0.35918340086937,3.22222232818604
1,0,0,0,0,0,4,0,3,4,4,1,924.199951171875,1,0,4,0.35918340086937,3.33333325386047
1,0,0,0,0,0,5,1,6,4,6,3,1023,1,0,5,0.35918340086937,3.66666674613953
1,0,0,0,0,0,5,0,4,3,4,2,1021.90002441406,1,0,2.5,-1.86411333084106,3.77777767181396
1,1,0,0,0,0,6,1,2,2,2,2,1030.69995117188,0,0,3,0.35918340086937,3.55555558204651
1,0,0,0,0,0,4,0,3,3,3,1,1024,0,0,3,0.35918340086937,3.33333325386047
1,0,0,0,0,0,4,1,4,6,1,3,1031.30004882813,1,0,3,-0.64337545633316,2.11111116409302
1,0,0,0,0,0,3,0,4,3,6,1,522.599975585938,0,0,4,0.35918340086937,2.88888883590698
0,1,0,0,0,0,6,-1,5,6,5,2,,0,1,2.5,0.35918340086937,3.44444441795349
0,1,0,1,0,0,5,1,4,4,4,2,,0,0,2.5,0.35918340086937,3.66666674613953
0,1,0,0,1,0,5,1,5,4,4,3,,0,0,2.5,-0.861554503440857,4.11111116409302
0,0,0,0,0,1,2,-1,3,1,2,2,,0,0,6.5,0.35918340086937,3.22222232818604
0,1,0,0,1,0,5,1,5,4,4,2,,1,0,2.5,0.35918340086937,3.66666674613953
